Algoritmo,Tipo,Tamanho,Trocas,Comparacoes,Tempo (s)
CS,A,10000,20000,10000,0.00406607
RSLSD,A,10000,100000,10000,0.00472684
RSMSD,A,10000,93546,10000,0.00700754
CS,O,10000,20000,10000,0.00143958
RSLSD,O,10000,100000,10000,0.00182357
RSMSD,O,10000,93546,10000,0.00396305
CS,I,10000,20000,10000,0.00112046
RSLSD,I,10000,100000,10000,0.00167896
RSMSD,I,10000,93546,10000,0.00374184
CS,A,100000,200000,100000,0.00445649
RSLSD,A,100000,1000000,100000,0.0173655
RSMSD,A,100000,1078174,100000,0.0240112
CS,O,100000,200000,100000,0.00492627
RSLSD,O,100000,1000000,100000,0.0176936
RSMSD,O,100000,1078174,100000,0.0240866
CS,I,100000,200000,100000,0.00436892
RSLSD,I,100000,1000000,100000,0.0170574
RSMSD,I,100000,1078174,100000,0.0232232
CS,A,1000000,2000000,1000000,0.038381
RSLSD,A,1000000,10000000,1000000,0.158194
RSMSD,A,1000000,13367756,1000000,0.124279
CS,O,1000000,2000000,1000000,0.0363223
RSLSD,O,1000000,10000000,1000000,0.168198
RSMSD,O,1000000,13367756,1000000,0.122554
CS,I,1000000,2000000,1000000,0.0397386
RSLSD,I,1000000,10000000,1000000,0.168064
RSMSD,I,1000000,13367756,1000000,0.116574
